year,data_mean_global
378,652.0940244
379,651.8039844
380,651.4729965
381,651.1550173
382,650.9619838
383,650.6759932
384,650.3620105
385,650.1349889
386,649.8630047
387,649.6270016
388,649.4189986
389,649.2040044
390,649.0039863
391,648.7410199
392,648.6029967
393,648.4490047
394,648.2789863
395,648.1150973
396,648.5380015
397,648.877049
398,649.3190198
399,649.7290325
400,650.132039
401,650.5170158
402,650.9410623
403,651.3859616
404,651.4940373
405,651.5679862
406,651.6160613
407,651.7259038
408,651.1359835
409,650.5530169
410,649.9989413
411,649.4481209
412,649.6240032
413,649.8210293
414,650.0330164
415,650.2360257
416,650.4210143
417,650.6660723
418,651.1490188
419,651.6180526
420,652.1280217
421,652.6410638
422,653.131951
423,653.1620283
424,653.1930217
425,653.2640178
426,653.346028
427,653.4900232
428,653.5849926
429,653.6130655
430,653.8570087
431,654.0830445
432,654.3410068
433,654.605076
434,654.9199171
435,654.6720287
436,654.4380031
437,654.2270093
438,654.0440118
439,653.8009531
440,653.2950067
441,652.7989821
442,652.3070124
443,651.85196
444,651.3960905
445,651.4079814
446,651.3920391
447,651.4489956
448,651.4770423
449,651.6069947
450,651.6089957
451,651.5120238
452,651.469996
453,651.4130376
454,651.4840035
455,651.5410237
456,651.6260088
457,651.7170326
458,651.8669961
459,651.9340272
460,652.0440108
461,652.1480156
462,652.2460152
463,652.3500155
464,652.4620177
465,652.5790073
466,652.6620199
467,652.7690116
468,652.8880286
469,653.0670055
470,653.1910138
471,653.2950161
472,653.4160136
473,653.5240057
474,653.5840122
475,653.6650307
476,653.8339941
477,653.9070249
478,654.0320127
479,654.1519951
480,654.1820341
481,654.3460112
482,654.5110092
483,654.6190061
484,654.7000203
485,654.8230033
486,654.8970083
487,654.9540168
488,655.0439946
489,655.0550237
490,655.1570107
491,655.2680015
492,655.3220218
493,655.4480004
494,655.5130094
495,655.5680058
496,655.6250191
497,655.7229822
498,655.6720282
499,655.7680072
500,655.8770176
501,655.9989943
502,656.0420218
503,656.2020181
504,656.346981
505,656.3440205
506,656.4210081
507,656.5200164
508,656.6910146
509,656.8380005
510,657.0300511
511,657.3499769
512,657.5350422
513,657.7879775
514,657.8990233
515,657.9859814
516,658.1101108
517,658.8790556
518,659.7300014
519,660.5060959
