year,data_mean_global,data_mean_nh,data_mean_sh
136,663.475991432643,685.169492608148,641.782490257138
137,663.357053483293,685.050544677381,641.663562289206
138,663.469028225903,685.162353036294,641.775703415512
139,663.577976066024,685.271399909738,641.88455222231
140,663.456031578382,685.149564116486,641.762499040278
141,663.409019923278,685.102460996789,641.715578849767
142,663.394006758244,685.087467968362,641.700545548126
143,663.367039444066,685.060478562802,641.673600325331
144,663.410990978812,685.104415895043,641.71756606258
145,663.386055975391,685.079500887169,641.692611063613
146,663.517999889294,685.211343874903,641.824655903685
147,663.556014718647,685.24946288371,641.862566553584
148,663.535016191876,685.228472690348,641.841559693404
149,663.552041872702,685.245450851037,641.858632894367
150,663.671000769636,685.364366514509,641.977635024762
151,663.682011728074,685.37547355009,641.988549906058
152,663.604999045485,685.298500777194,641.911497313777
153,663.476034511403,685.169546718199,641.782522304607
154,663.452009357906,685.145444495433,641.75857422038
155,663.424021217854,685.117485751651,641.730556684056
156,663.41301617997,685.10645558111,641.71957677883
157,663.387004306493,685.080472089384,641.693536523601
158,663.318032523328,685.011511972672,641.624553073984
159,663.323004627403,685.016429234212,641.629580020594
160,663.269010633488,684.962504844505,641.575516422471
161,663.186024182839,684.879507658264,641.492540707415
162,663.174023648723,684.867454065232,641.480593232214
163,663.190001835589,684.883439461218,641.49656420996
164,663.144034155291,684.83750829761,641.450560012972
165,663.151992085693,684.845418918605,641.458565252782
166,663.080045661553,684.77354456441,641.386546758697
167,663.116989302941,684.810380394079,641.423598211803
168,663.062043197766,684.755546470726,641.368539924806
169,663.090990345065,684.784384050576,641.397596639553
170,663.051056764711,684.744545082868,641.357568446555
171,663.178997146537,684.872311214762,641.485683078312
172,663.203013813591,684.896496286664,641.509531340518
173,663.185039413323,684.878467807353,641.491611019294
174,663.292006722287,684.985366210989,641.598647233585
175,663.335024233854,685.028466076201,641.641582391506
176,663.371008264028,685.064417054456,641.677599473599
177,663.367027114872,685.060485732139,641.673568497605
178,663.403014980352,685.096415168391,641.709614792313
179,663.426014979082,685.119457447481,641.732572510682
180,663.429025985267,685.122460661751,641.735591308784
181,663.489024023746,685.182415506315,641.795632541178
182,663.588026484889,685.281405768899,641.894647200879
183,663.709015725481,685.40238193996,642.015649511001
184,663.806034920465,685.499426798502,642.112643042429
185,663.977024707096,685.670338607638,642.283710806553
186,664.153017277125,685.846370632101,642.459663922149
